Name,Brand,Model,Inches,Price,DisplayType,Resolution,Colour
sony bravia kd-32w820k 32 inch (81 cm) led hd-ready tv,sony,bravia kd-32w820k 3,32,24999,HD-Ready,1366x768,Black
haier le32w400g 32 inch (81 cm) led hd-ready tv,haier,le32w400g 3,32,12490,HD-Ready,1366x768,Black
dyanora dy-ld24h4s 24 inch (60 cm) led hd-ready tv,dyanora,dy-ld24h4s 2,24,6999,HD-Ready,1366x768,Black
dyanora dy-ld32h4s 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h4s 3,32,8999,HD-Ready,1366x768,Black
xiaomi smart tv 5a pro 32 inch (81 cm) led hd-ready tv,xiaomi,smart tv 5a pro 3,32,25999,HD-Ready,1366x768,Black
dyanora dy-ld32h1n 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h1n 3,32,7999,HD-Ready,1366x768,Black
beethosol ledatbg32hdek 32 inch (81 cm) led hd-ready tv,beethosol,ledatbg32hdek 3,32,7399,HD-Ready,1366x768,Grey
sansui jswy32gshd 32 inch (81 cm) led hd-ready tv,sansui,jswy32gshd 3,32,11990,HD-Ready,1366x768,Black
toshiba 65m550mp 65 inch (165 cm) qled 4k tv,toshiba,65m550mp 6,65,56999,4K,3840x2160,Black
sansui jsw65asuhdff 65 inch (165 cm) led 4k tv,sansui,jsw65asuhdff 6,65,51999,4K,3840x2160,Black
sansui jsw43asuhd 43 inch (109 cm) led 4k tv,sansui,jsw43asuhd 4,43,25999,4K,3840x2160,Black
realme smart tv 32 32 inch (81 cm) led hd-ready tv,realme,smart tv 32 3,32,9999,HD-Ready,1366x768,Black
blaupunkt cybersound g2 65csgt7024 65 inch (165 cm) led 4k tv,blaupunkt,cybersound g2 65csgt7024 6,65,39999,4K,3840x2160,830 x 130 mm
blaupunkt 50csa7007 50 inch (127 cm) led 4k tv,blaupunkt,50csa7007 5,50,28999,4K,3840x2160,Black
blaupunkt 55csa7090 55 inch (139 cm) led 4k tv,blaupunkt,55csa7090 5,55,32999,4K,3840x2160,Black
lg oled65a2psa 65 inch (165 cm) oled 4k tv,lg,oled65a2psa 6,65,149990,4K,3840x2160,Black
infinix 43x3in 43 inch (109 cm) led full hd tv,infinix,43x3in 4,43,16999,Full HD,1920x1080,Black
kodak ca pro 43capro5022 43 inch (109 cm) led 4k tv,kodak,ca pro 43capro5022 4,43,23999,4K,3840x2160,Black
xiaomi mi tv 4a horizon 40 inch (101 cm) led full hd tv,xiaomi,mi tv 4a horizon 4,40,29999,Full HD,1920x1080,Black
panasonic viera th-40hs450dx 40 inch (101 cm) led full hd tv,panasonic,viera th-40hs450dx 4,40,13999,Full HD,1920x1080,Black
panasonic th-65mx660dx 65 inch (165 cm) led 4k tv,panasonic,th-65mx660dx 6,65,64990,4K,3840x2160,Black
panasonic th-55mx660dx 55 inch (139 cm) led 4k tv,panasonic,th-55mx660dx 5,55,42990,4K,3840x2160,Black
adsun a-3200n 32 inch (81 cm) led hd-ready tv,adsun,a-3200n 3,32,6789,HD-Ready,1366x768,Black
adsun a-3200f/n 32 inch (81 cm) led hd-ready tv,adsun,a-3200f/n 3,32,7200,HD-Ready,1366x768,Black
compaq hueq x cqv43fds 43 inch (109 cm) led full hd tv,compaq,hueq x cqv43fds 4,43,14999,Full HD,1920x1080,Black
beethosol ledatvbg2483hd17-tp 24 inch (60 cm) led hd-ready tv,beethosol,ledatvbg2483hd17-tp 2,24,5499,HD-Ready,1366x768,Black
beethosol ledstvbg3285hd27-ek 32 inch (81 cm) led hd-ready tv,beethosol,ledstvbg3285hd27-ek 3,32,8249,HD-Ready,1366x768,Grey
foxsky 55fs-vs 55 inch (139 cm) led 4k tv,foxsky,55fs-vs 5,55,26499,4K,3840x2160,Black
motorola revou 2 43fhdadmvvee 43 inch (109 cm) led full hd tv,motorola,revou 2 43fhdadmvvee 4,43,22327,Full HD,1920x1080,Silver
samsung ua65aue60ak 65 inch (165 cm) led 4k tv,samsung,ua65aue60ak 6,65,80490,4K,3840x2160,Black
lg 32lm565bpta 32 inch (81 cm) led hd-ready tv,lg,32lm565bpta 3,32,13499,HD-Ready,1366x768,Black
sansui neo jswy32cshd 32 inch (81 cm) led hd-ready tv,sansui,neo jswy32cshd 3,32,10769,HD-Ready,1366x768,Black
sens sens32wygshd 32 inch (81 cm) led hd-ready tv,sens,sens32wygshd 3,32,7999,HD-Ready,1366x768,Black
xiaomi redmi smart fire tv 32 inch (81 cm) led hd-ready tv,xiaomi,redmi smart fire tv 3,32,12499,HD-Ready,1366x768,Black
sansui jsw43asfhd 43 inch (109 cm) led full hd tv,sansui,jsw43asfhd 4,43,22500,Full HD,1920x1080,Black
samsung ua32t4010ar 32 inch (81 cm) led hd-ready tv,samsung,ua32t4010ar 3,32,16290,HD-Ready,1366x768,Black
lg lx1 pose 55lx1qpsa 55 inch (139 cm) oled evo 4k tv,lg,lx1 pose 55lx1qpsa 5,55,149990,EVO 4K,3840x2160,Other
lg 32lq645bpta 32 inch (81 cm) led hd-ready tv,lg,32lq645bpta 3,32,17999,HD-Ready,1366x768,Black
nokia 55uhdaqndt5q 55 inch (139 cm) qled 4k tv,nokia,55uhdaqndt5q 5,55,54999,4K,3840x2160,Black
motorola 50uhdadmrs7p 50 inch (127 cm) led 4k tv,motorola,50uhdadmrs7p 5,50,35999,4K,3840x2160,Black
sens dwinci sens65wgsqled 65 inch (165 cm) qled 4k tv,sens,dwinci sens65wgsqled 6,65,39999,4K,3840x2160,Black
sens dwinci sens55wgsqled 55 inch (139 cm) qled 4k tv,sens,dwinci sens55wgsqled 5,55,31999,4K,3840x2160,Black
haier l50eg 50 inch (127 cm) led 4k tv,haier,l50eg 5,50,39990,4K,3840x2160,Grey
onida nexg 65uig 65 inch (165 cm) led 4k tv,onida,nexg 65uig 6,65,45999,4K,3840x2160,Black
samsung qa55qn90bak 55 inch (139 cm) neo qled 4k tv,samsung,qa55qn90bak 5,55,184990,QLED 4K,3840x2160,Other
acer ar43ap2851udfl 43 inch (109 cm) led 4k tv,acer,ar43ap2851udfl 4,43,34990,4K,3840x2160,Black
dyanora dy-ld32h2s 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h2s 3,32,8299,HD-Ready,1366x768,Black
candy ca32c9 32 inch (81 cm) led hd-ready tv,candy,ca32c9 3,32,10990,HD-Ready,1366x768,Black
samsung ua55bu8570u 55 inch (139 cm) led 4k tv,samsung,ua55bu8570u 5,55,78990,4K,3840x2160,Black
sansui jsw32ashd 32 inch (81 cm) led hd-ready tv,sansui,jsw32ashd 3,32,10999,HD-Ready,1366x768,Black
sony bravia xr-55a80l 55 inch (139 cm) oled 4k tv,sony,bravia xr-55a80l 5,55,180490,4K,3840x2160,Black
sony bravia xr-77a80l 77 inch (195 cm) oled 4k tv,sony,bravia xr-77a80l 7,77,446490,4K,3840x2160,Black
samsung ua43bu8570u 43 inch (109 cm) led 4k tv,samsung,ua43bu8570u 4,43,51990,4K,3840x2160,Black
samsung qa65qn800ck 65 inch (165 cm) neo qled 8k uhd tv,samsung,qa65qn800ck 6,65,364990,QLED 8K UHD,7680x4320,Other
samsung qa75qn800bk 75 inch (190 cm) neo qled 8k uhd tv,samsung,qa75qn800bk 7,75,799990,QLED 8K UHD,7680x4320,Other
samsung qa43q60cak 43 inch (109 cm) qled 4k tv,samsung,qa43q60cak 4,43,62990,4K,3840x2160,Black
samsung qa65ls03tak 65 inch (165 cm) qled 4k tv,samsung,qa65ls03tak 6,65,138490,4K,3840x2160,Black
lg oled55g2psa 55 inch (139 cm) oled evo 4k tv,lg,oled55g2psa 5,55,144990,EVO 4K,3840x2160,Black
samsung ua50cu8000k 50 inch (127 cm) led 4k tv,samsung,ua50cu8000k 5,50,55290,4K,3840x2160,Other
samsung qa49ls01tak 49 inch (124 cm) qled 4k tv,samsung,qa49ls01tak 4,49,89490,4K,3840x2160,Other
lg 32lk628bptf 32 inch (81 cm) led hd-ready tv,lg,32lk628bptf 3,32,21899,HD-Ready,1366x768,Black
candy ca5560cqled 55 inch (139 cm) qled 4k tv,candy,ca5560cqled 5,55,42990,4K,3840x2160,Black
kevin kn32a1 32 inch (81 cm) led hd-ready tv,kevin,kn32a1 3,32,7999,HD-Ready,1366x768,Black
xiaomi mi tv 4a pro 32 inch (81 cm) led hd-ready tv,xiaomi,mi tv 4a pro 3,32,16989,HD-Ready,1366x768,Black
xiaomi smart tv 5a 40 inch (101 cm) led full hd tv,xiaomi,smart tv 5a 4,40,20999,Full HD,1920x1080,Black
xiaomi mi tv 4a pro 43 inch (109 cm) led full hd tv,xiaomi,mi tv 4a pro 4,43,21499,Full HD,1920x1080,Black
realme smart tv x 32 inch (81 cm) led hd-ready tv,realme,smart tv x 3,32,12599,HD-Ready,1366x768,Black
